"Graph 1.3 Overseas migrant departures - major groups(a)"
,"Temporary visa holders(b) ('000)","Australian Citizen ('000)","Permanent visa holders(b) ('000)","NZ Citizen (subclass 444)(c) ('000)","Unknown Visa ('000)"
"2011-12","109.58","82.93","18.85","16.38","7.65"
"2012-13","119.03","85.69","18.67","20.06","8.31"
"2013-14","127.76","92.18","19.69","25.30","11.97"
"2014-15","128.06","97.57","21.28","27.08","7.23"
"2015-16","129.28","97.29","20.98","27.64","7.86"
"2016-17","131.22","92.56","20.49","25.60","6.94"
"2017-18","143.55","89.77","20.59","22.91","12.48"
"2018-19","168.53","85.89","21.54","22.41","10.70"
"2019-20","196.83","60.39","24.41","20.85","11.69"
"2020-21","146.53","44.01","17.93","19.05","3.41"
"2021-22","102.80","74.09","23.99","15.79","7.39"

"a. Estimates for 2021-22 are preliminary. See revision status on the methodology page."
"b. The visa at time of traveller's overseas migration departure date. The number of visas here should not be confused with information on visas granted by the Department of Home Affairs as visas can be granted onshore."
"c. Visa subclass 444 is granted to New Zealand citizens upon arrival in Australia if they have not already been granted another visa."

"Source: Australian Bureau of Statistics, Overseas Migration 2021-22 financial year"
