Date,Arrivals,Departures,Net
1/09/2012,475.5,-235.6,239.8
1/12/2012,478.3,-238.1,240.2
1/03/2013,483.8,-246.4,237.4
1/06/2013,482,-251.8,230.3
1/09/2013,484.2,-263.2,221.2
1/12/2013,478.6,-270.4,208.4
1/03/2014,472.6,-270.5,202.2
1/06/2014,464.7,-276.9,187.8
1/09/2014,459.9,-276.1,183.8
1/12/2014,458.8,-276.4,182.4
1/03/2015,460.6,-279.6,181.2
1/06/2015,465.2,-281.3,184.1
1/09/2015,469.3,-285.2,184.3
1/12/2015,473.2,-286.5,186.8
1/03/2016,481.3,-285.3,196
1/06/2016,489.2,-283,206.3
1/09/2016,507,-277.6,229.6
1/12/2016,519.5,-275.9,243.9
1/03/2017,536.5,-277.2,259.7
1/06/2017,540,-276.9,263.4
1/09/2017,540,-280.7,259.4
1/12/2017,531.4,-289.7,241.6
1/03/2018,527.3,-289.2,237.9
1/06/2018,527.6,-289.3,238.2
1/09/2018,531,-288.6,242.3
1/12/2018,534.4,-282.2,252.2
1/03/2019,536.6,-285.9,250.7
1/06/2019,550.4,-309,241.3
1/09/2019,566.3,-324.3,242
1/12/2019,607.8,-360.2,247.6
1/03/2020,618.3,-379.1,239.2
1/06/2020,506.8,-314.1,192.7
1/09/2020,361.9,-286.3,75.6
1/12/2020,235.3,-240.3,-5
1/03/2021,112.9,-207.3,-94.4
1/06/2021,145.9,-230.9,-85
1/09/2021,162.4,-218.6,-56.2
1/12/2021,214,-208.1,5.9
1/03/2022,328.2,-207.2,121
1/06/2022,407.3,-223.6,183.7
1/09/2022,536.9,-233.2,303.7
